iter	Logloss
0	0.5332883147
1	0.4070000892
2	0.3357838217
3	0.2820621458
4	0.250051677
5	0.2260730041
6	0.210716948
7	0.1979308005
8	0.1861867365
9	0.1787493226
10	0.1722890784
11	0.167635058
12	0.1625866142
13	0.1585062718
14	0.1557065635
15	0.1521995955
16	0.1495494247
17	0.1477188255
18	0.1436598634
19	0.140944917
20	0.1386329792
21	0.1358878327
22	0.1340724854
23	0.1322739082
24	0.1305177879
25	0.1286884586
26	0.1276371687
27	0.1256697994
28	0.1242056596
29	0.1224588699
30	0.1214238947
31	0.1201166906
32	0.1187420055
33	0.1178177411
34	0.1160043676
35	0.1151884261
36	0.1143218014
37	0.1120909609
38	0.1103300235
39	0.1091667186
40	0.1080351872
41	0.1068741045
42	0.1054868452
43	0.1045592268
44	0.1038241617
45	0.1026960741
46	0.1012408853
47	0.1005306166
48	0.09993297037
49	0.09876922373
50	0.09797962453
51	0.09710270999
52	0.09591745888
53	0.09481391924
54	0.09425272568
55	0.093559869
56	0.09280943472
57	0.0923667573
58	0.09199317577
59	0.09160116084
60	0.09102615087
61	0.09076294884
62	0.09023306651
63	0.08931938872
64	0.08819970692
65	0.08774187424
66	0.0872673956
67	0.08660896953
68	0.08604687191
69	0.0856554712
70	0.08500757653
71	0.0845563691
72	0.0840878946
73	0.08368605912
74	0.08304063511
75	0.08231731606
76	0.08176503209
77	0.08135418351
78	0.08042451538
79	0.07956630339
80	0.07916710421
81	0.07865043789
82	0.07824180462
83	0.07773989328
84	0.07721415864
85	0.07672901749
86	0.07626374519
87	0.07567629217
88	0.07528124757
89	0.07483030239
90	0.07458295266
91	0.07405220767
92	0.07352623838
93	0.07320410609
94	0.07279201527
95	0.07224334068
96	0.07198279565
97	0.07173542521
98	0.0712906705
99	0.0709700565
100	0.07071012569
101	0.07033806934
102	0.06987555757
103	0.06884920214
104	0.06859798078
105	0.06827460625
106	0.06798259816
107	0.0675375536
108	0.067032654
109	0.06668781641
110	0.06637542876
111	0.06611555316
112	0.0657957052
113	0.0654281071
114	0.06523074353
115	0.06501290379
116	0.0647858508
117	0.06451630646
118	0.06408040613
119	0.06387249046
120	0.0631734019
121	0.06302999275
122	0.06244132509
123	0.06219740531
124	0.06207756412
125	0.06157708826
126	0.0611611465
127	0.0607787313
128	0.06057936635
129	0.06026677857
130	0.05998962209
131	0.05985537787
132	0.05972497078
133	0.05952998126
134	0.0593547985
135	0.05910300432
136	0.05865282519
137	0.05852284598
138	0.05829988546
139	0.05812401256
140	0.05782705969
141	0.05763905084
142	0.05745771211
143	0.05718379234
144	0.05676619773
145	0.05647992807
146	0.05620908284
147	0.05599208506
148	0.05574606038
149	0.05538271003
150	0.05520471843
151	0.05508862465
152	0.05483709962
153	0.05461003628
154	0.05429215175
155	0.05404180685
156	0.0537499989
157	0.05367040613
158	0.05357047866
159	0.05343600324
160	0.05312896066
161	0.05306676953
162	0.05287317408
163	0.05263674221
164	0.05242283276
165	0.05226965481
166	0.05208749137
167	0.05189715678
168	0.05168060413
169	0.0515470604
170	0.05125064237
171	0.05107866526
172	0.05092923127
173	0.05086701254
174	0.05075701951
175	0.0505123958
176	0.05032990109
177	0.05010461139
178	0.05001751345
179	0.04981877997
180	0.04970425278
181	0.04953735158
182	0.04925465336
183	0.04917361821
184	0.04909424629
185	0.04887243484
186	0.04875141007
187	0.04859125145
188	0.04839301487
189	0.04823732484
190	0.04815794601
191	0.04804878459
192	0.04782818777
193	0.04769343976
194	0.04756188015
195	0.04740877811
196	0.04730366086
197	0.04723165953
198	0.04709030006
199	0.04694957552
